mouse_id,G10,G11,G6,G7,G8,G9
JAC_DO.0001,0,0,0,1,0,0
JAC_DO.0002,0,0,0,1,0,0
JAC_DO.0003,0,0,0,1,0,0
JAC_DO.0004,0,0,0,1,0,0
JAC_DO.0005,0,0,0,1,0,0
JAC_DO.0006,0,0,0,1,0,0
JAC_DO.0007,0,0,0,1,0,0
JAC_DO.0008,0,0,0,1,0,0
JAC_DO.0009,0,0,0,1,0,0
JAC_DO.0010,0,0,0,1,0,0
JAC_DO.0012,0,0,0,1,0,0
JAC_DO.0013,0,0,0,1,0,0
JAC_DO.0015,0,0,0,1,0,0
JAC_DO.0016,0,0,0,1,0,0
JAC_DO.0017,0,0,0,1,0,0
JAC_DO.0018,0,0,0,1,0,0
JAC_DO.0020,0,0,0,1,0,0
JAC_DO.0021,0,0,0,1,0,0
JAC_DO.0022,0,0,0,1,0,0
JAC_DO.0023,0,0,0,1,0,0
JAC_DO.0024,0,0,0,1,0,0
JAC_DO.0025,0,0,0,1,0,0
JAC_DO.0026,0,0,0,1,0,0
JAC_DO.0027,0,0,0,1,0,0
JAC_DO.0028,0,0,0,1,0,0
JAC_DO.0029,0,0,0,1,0,0
JAC_DO.0030,0,0,0,1,0,0
JAC_DO.0031,0,0,0,1,0,0
JAC_DO.0032,0,0,0,1,0,0
JAC_DO.0033,0,0,0,1,0,0
JAC_DO.0034,0,0,0,1,0,0
JAC_DO.0035,0,0,0,1,0,0
JAC_DO.0037,0,0,0,1,0,0
JAC_DO.0038,0,0,0,1,0,0
JAC_DO.0039,0,0,0,1,0,0
JAC_DO.0041,0,0,0,1,0,0
JAC_DO.0042,0,0,0,1,0,0
JAC_DO.0044,0,0,0,1,0,0
JAC_DO.0045,0,0,0,1,0,0
JAC_DO.0047,0,0,0,1,0,0
JAC_DO.0049,0,0,0,1,0,0
JAC_DO.0050,0,0,0,1,0,0
JAC_DO.0051,0,0,0,1,0,0
JAC_DO.0052,0,0,0,1,0,0
JAC_DO.0053,0,0,0,1,0,0
JAC_DO.0054,0,0,0,1,0,0
JAC_DO.0055,0,0,0,1,0,0
JAC_DO.0056,0,0,0,1,0,0
JAC_DO.0057,0,0,0,1,0,0
JAC_DO.0058,0,0,0,1,0,0
JAC_DO.0059,0,0,0,1,0,0
JAC_DO.0060,0,0,0,1,0,0
JAC_DO.0061,0,0,0,0,1,0
JAC_DO.0064,0,0,0,0,1,0
JAC_DO.0065,0,0,0,0,1,0
JAC_DO.0067,0,0,0,0,1,0
JAC_DO.0070,0,0,0,0,1,0
JAC_DO.0071,0,0,0,0,1,0
JAC_DO.0073,0,0,0,0,1,0
JAC_DO.0074,0,0,0,0,1,0
JAC_DO.0075,0,0,0,0,1,0
JAC_DO.0076,0,0,0,0,1,0
JAC_DO.0077,0,0,0,0,1,0
JAC_DO.0078,0,0,0,0,1,0
JAC_DO.0079,0,0,0,0,1,0
JAC_DO.0080,0,0,0,0,1,0
JAC_DO.0081,0,0,0,0,1,0
JAC_DO.0082,0,0,0,0,1,0
JAC_DO.0083,0,0,0,0,1,0
JAC_DO.0084,0,0,0,0,1,0
JAC_DO.0085,0,0,0,0,1,0
JAC_DO.0087,0,0,0,0,1,0
JAC_DO.0088,0,0,0,0,1,0
JAC_DO.0090,0,0,0,0,1,0
JAC_DO.0092,0,0,0,0,1,0
JAC_DO.0093,0,0,0,0,1,0
JAC_DO.0094,0,0,0,0,1,0
JAC_DO.0095,0,0,0,0,1,0
JAC_DO.0096,0,0,0,0,1,0
JAC_DO.0097,0,0,0,0,1,0
JAC_DO.0098,0,0,0,0,1,0
JAC_DO.0099,0,0,0,0,1,0
JAC_DO.0100,0,0,0,0,1,0
JAC_DO.0101,0,0,0,0,1,0
JAC_DO.0102,0,0,0,0,1,0
JAC_DO.0103,0,0,0,0,1,0
JAC_DO.0104,0,0,0,0,1,0
JAC_DO.0105,0,0,0,0,1,0
JAC_DO.0106,0,0,0,0,1,0
JAC_DO.0107,0,0,0,0,1,0
JAC_DO.0108,0,0,0,0,1,0
JAC_DO.0109,0,0,0,0,1,0
JAC_DO.0110,0,0,0,0,1,0
JAC_DO.0111,0,0,0,0,1,0
JAC_DO.0112,0,0,0,0,1,0
JAC_DO.0113,0,0,0,0,1,0
JAC_DO.0115,0,0,0,0,1,0
JAC_DO.0116,0,0,0,0,1,0
JAC_DO.0118,0,0,0,0,1,0
JAC_DO.0119,0,0,0,0,1,0
JAC_DO.0120,0,0,0,0,1,0
JAC_DO.0121,0,0,0,0,0,1
JAC_DO.0122,0,0,0,0,0,1
JAC_DO.0123,0,0,0,0,0,1
JAC_DO.0124,0,0,0,0,0,1
JAC_DO.0125,0,0,0,0,0,1
JAC_DO.0126,0,0,0,0,0,1
JAC_DO.0127,0,0,0,0,0,1
JAC_DO.0128,0,0,0,0,0,1
JAC_DO.0129,0,0,0,0,0,1
JAC_DO.0130,0,0,0,0,0,1
JAC_DO.0132,0,0,0,0,0,1
JAC_DO.0133,0,0,0,0,0,1
JAC_DO.0134,0,0,0,0,0,1
JAC_DO.0137,0,0,0,0,0,1
JAC_DO.0138,0,0,0,0,0,1
JAC_DO.0139,0,0,0,0,0,1
JAC_DO.0140,0,0,0,0,0,1
JAC_DO.0141,0,0,0,0,0,1
JAC_DO.0142,0,0,0,0,0,1
JAC_DO.0144,0,0,0,0,0,1
JAC_DO.0145,0,0,0,0,0,1
JAC_DO.0146,0,0,0,0,0,1
JAC_DO.0147,0,0,0,0,0,1
JAC_DO.0148,0,0,0,0,0,1
JAC_DO.0149,0,0,0,0,0,1
JAC_DO.0150,0,0,0,0,0,1
JAC_DO.0151,0,0,0,0,0,1
JAC_DO.0152,0,0,0,0,0,1
JAC_DO.0153,0,0,0,0,0,1
JAC_DO.0154,0,0,0,0,0,1
JAC_DO.0155,0,0,0,0,0,1
JAC_DO.0156,0,0,0,0,0,1
JAC_DO.0157,0,0,0,0,0,1
JAC_DO.0158,0,0,0,0,0,1
JAC_DO.0159,0,0,0,0,0,1
JAC_DO.0161,0,0,0,0,0,1
JAC_DO.0162,0,0,0,0,0,1
JAC_DO.0163,0,0,0,0,0,1
JAC_DO.0164,0,0,0,0,0,1
JAC_DO.0165,0,0,0,0,0,1
JAC_DO.0166,0,0,0,0,0,1
JAC_DO.0167,0,0,0,0,0,1
JAC_DO.0168,0,0,0,0,0,1
JAC_DO.0169,0,0,0,0,0,1
JAC_DO.0170,0,0,0,0,0,1
JAC_DO.0171,0,0,0,0,0,1
JAC_DO.0172,0,0,0,0,0,1
JAC_DO.0174,0,0,0,0,0,1
JAC_DO.0176,0,0,0,0,0,1
JAC_DO.0177,0,0,0,0,0,1
JAC_DO.0178,0,0,0,0,0,1
JAC_DO.0179,0,0,0,0,0,1
JAC_DO.0180,0,0,0,0,0,1
JAC_DO.0181,1,0,0,0,0,0
JAC_DO.0183,1,0,0,0,0,0
JAC_DO.0184,1,0,0,0,0,0
JAC_DO.0185,1,0,0,0,0,0
JAC_DO.0186,1,0,0,0,0,0
