MouseID,Lifespan.Zsc
DEH_5.1,0.290961027
DEH_5.2,-0.548998733
DEH_5.3,1.8406542280000002
DEH_32.1,-0.6173675510000001
DEH_32.2,-1.7112686330000002
DEH_32.3,-1.779637451
DEH_34.1,1.3327715820000001
DEH_34.2,0.662106037
DEH_35.1,-0.63364584
DEH_35.3,0.343051555
DEH_51.1,1.043018022
DEH_51.2,0.43095432
DEH_51.3,-0.848519267
DEH_67.1,-0.526209127
DEH_67.2,1.5899685630000002
DEH_69.1,0.59373722
DEH_69.2,-0.7248042640000001
DEH_69.3,-0.864797557
DEH_91.1,1.033251048
DEH_91.3,0.072831942
DEH_93.1,0.089110232
DEH_93.2,-0.480629915
DEH_93.3,0.802099331
DEH_128.1,0.13794510199999999
DEH_128.2,-0.109484905
DEH_128.3,1.9122787030000001
DEH_43.1,-0.073672667
DEH_43.3,1.83739857
DEH_52.1,-1.281521779
DEH_52.3,1.355561188
DEH_61.1,2.1824983159999998
DEH_61.2,0.287705369
DEH_61.3,1.355561188
DEH_63.1,-0.314591358
DEH_63.2,0.147712076
DEH_68.1,-0.16483109099999999
DEH_68.2,-0.965722955
DEH_68.3,0.671873011
DEH_64.1,-1.226175594
DEH_64.2,0.968137888
DEH_29.1,0.629549457
DEH_29.3,-0.015070823
DEH_33.1,0.21933655100000002
DEH_33.2,-0.044371745
DEH_33.3,1.283936712
DEH_49.1,-0.015070823
DEH_49.3,0.352818529
DEH_99.1,-1.8089383730000002
DEH_99.2,-0.5099308370000001
DEH_99.3,-0.5001638629999999
DEH_15.1,0.847678542
DEH_15.2,-1.2652434890000002
DEH_15.3,1.4206743480000001
DEH_23.1,0.34630721299999995
DEH_23.3,1.9220456769999998
DEH_30.1,0.01097444
DEH_30.2,-0.614111893
DEH_36.1,0.645827747
DEH_56.1,-0.6955033420000001
DEH_56.2,0.52862406
DEH_57.1,-0.057394377
DEH_57.2,0.01097444
DEH_57.3,0.09236589
DEH_58.1,-0.7866617659999999
DEH_58.2,0.531879718
DEH_58.3,0.030508387999999997
DEH_59.1,0.8932577540000001
DEH_59.2,0.486300506
DEH_65.1,-0.900609795
DEH_65.2,0.352818529
DEH_65.3,0.691406959
DEH_66.1,0.8704681479999999
DEH_9.1,0.8704681479999999
DEH_9.2,1.847165544
DEH_18.1,1.3978847419999998
DEH_18.2,-0.516442153
DEH_18.3,0.414676031
DEH_28.1,-1.327100991
DEH_28.2,-2.134504171
DEH_28.3,0.509090112
DEH_31.1,-0.539231759
DEH_31.2,0.828144595
DEH_31.3,-0.32435833199999997
DEH_41.1,-0.448073335
DEH_41.2,-0.799684398
DEH_41.3,0.961626572
DEH_45.1,-0.477374257
DEH_45.2,-0.220177276
DEH_45.3,0.551413666
DEH_47.1,1.30347066
DEH_47.2,0.19003563
DEH_47.3,1.619269485
DEH_71.1,-0.7899174240000001
DEH_71.2,0.437465636
DEH_71.3,1.300215002
DEH_83.1,0.688151301
DEH_83.2,-0.402494124
DEH_123.1,0.460255242
DEH_123.2,1.300215002
DEH_127.1,0.658850379
DEH_127.2,-1.4963952059999999
DEH_127.3,1.316493292
DEH_130.1,-1.678712054
DEH_130.2,-0.9266550590000001
DEH_130.3,0.268171421
DEH_131.1,-0.083439641
DEH_131.2,0.372352477
DEH_134.1,-0.8387522940000001
DEH_149.2,1.41741869
DEH_149.3,0.395142083
DEH_6.2,0.183524314
DEH_6.3,-1.317334017
DEH_19.1,1.075574601
DEH_20.3,1.202545263
DEH_20.6,1.293703686
DEH_25.2,0.603504194
DEH_25.3,1.251380133
DEH_26.2,1.088597233
DEH_87.2,0.590481562
DEH_87.3,-0.18436503899999998
DEH_88.2,-0.29180175199999997
DEH_88.3,1.41741869
DEH_92.2,-0.783406108
DEH_92.3,-0.36017057
DEH_94.2,0.522112744
DEH_94.3,-1.043858747
DEH_100.2,0.160734708
DEH_100.3,1.000694468
DEH_102.2,1.485787507
DEH_102.3,1.000694468
DEH_118.2,1.088597233
DEH_122.2,1.4825318490000001
DEH_122.3,0.596992878
DEH_135.2,0.8932577540000001
DEH_135.3,1.4825318490000001
DEH_138.2,1.163477367
DEH_143.2,-0.40900544
DEH_143.3,0.460255242
DEH_7.2,0.935581308
DEH_7.3,0.9713935459999999
DEH_8.2,1.088597233
DEH_8.3,0.961626572
DEH_17.2,1.410907374
DEH_17.3,0.20631392
DEH_24.2,0.61001551
DEH_24.3,0.6848956429999999
DEH_38.1,1.521599745
DEH_48.1,0.115155496
DEH_48.2,0.22584786699999998
DEH_48.3,0.662106037
DEH_74.1,-0.236455566
DEH_74.2,-1.597320604
DEH_74.3,-1.040603089
DEH_75.1,-1.799171399
DEH_75.2,-1.9066081119999998
DEH_75.3,-0.454584651
DEH_76.1,-0.32761399
DEH_76.2,1.283936712
DEH_76.3,2.589455564
DEH_77.1,0.229103525
DEH_77.2,-0.43830636100000003
DEH_77.3,-0.591322287
DEH_78.1,-0.181109381
DEH_78.2,1.70717225
DEH_78.3,-1.0992049320000001
DEH_84.1,-0.272267804
DEH_84.2,1.388117768
DEH_84.3,-0.16808674899999998
DEH_105.1,-0.581555313
DEH_113.1,-2.277753123
DEH_113.2,0.652339063
DEH_113.3,-1.821961005
DEH_114.1,0.10864418
DEH_114.2,0.535135376
DEH_114.3,1.1081311809999999
DEH_22.2,-0.138785827
DEH_46.2,-1.5159291540000002
DEH_46.3,-2.193106015
DEH_62.1,1.04627368
DEH_62.2,-0.988512561
DEH_70.1,-2.036834432
DEH_70.2,1.703916592
DEH_70.3,1.176499999
DEH_82.1,-0.18436503899999998
DEH_82.2,-0.584810971
DEH_82.3,0.294216685
DEH_85.1,0.8183776209999999
DEH_85.2,0.606759852
DEH_85.3,-0.18436503899999998
DEH_95.1,0.339795897
DEH_95.2,-0.076928325
DEH_95.3,0.727219197
DEH_96.1,0.089110232
DEH_96.2,0.961626572
DEH_96.3,0.43095432
DEH_107.1,0.636060773
DEH_107.2,0.815121963
DEH_107.3,1.762518436
DEH_1.1,-0.985256903
DEH_1.2,1.6941496180000002
DEH_1.3,0.066320626
DEH_132.1,-1.952187324
DEH_132.2,0.255148789
DEH_132.3,1.088597233
DEH_120.1,-1.5582527080000002
DEH_120.2,0.9551152559999999
DEH_120.3,1.8764664659999999
DEH_110.1,0.7044295909999999
DEH_16.1,0.48955616399999996
DEH_11.1,1.2741697379999999
DEH_11.2,1.381606452
DEH_11.3,0.52862406
DEH_12.1,1.2578914490000002
DEH_81.1,-2.176827725
DEH_81.2,0.795588015
DEH_81.3,0.89976907
DEH_97.1,0.079343258
DEH_97.2,1.531366719
DEH_97.3,1.443463954
DEH_98.1,-1.180596382
DEH_98.2,0.632805115
DEH_98.3,0.662106037
DEH_164.1,-1.2652434890000002
